Phản hồi,Lecturer_Sentiment,Training_Sentiment,Facility_Sentiment,Others_Sentiment
giáo trình chưa cụ thể .,,,,
giảng buồn ngủ .,Tiêu cực 😠,,,
"giáo viên vui tính , tận tâm .",Tích cực 😄,,,
"giảng viên nên giao bài tập nhiều hơn , chia nhóm để làm bài tập , giảng kỹ những vấn đề trọng tâm của môn học , đưa ra phương pháp để học hiệu quả hơn .",Tiêu cực 😠,,,
"giảng viên cần giảng bài chi tiết hơn , đi sâu hơn code và chạy thử chương trình có trong bài giảng nếu được .",Tiêu cực 😠,,,
nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .,Tiêu cực 😠,,,
nên có bài tập lớn đồ án môn học .,,Tiêu cực 😠,,
"giảng viên đảm bảo nội dung học , phân tích giải nhiều bài tập .",Tích cực 😄,,,
"nêu rõ mục tiêu , mục đích môn học để sinh viên tiếp thu dễ dàng .",Tích cực 😄,,,
có một số vấn đề nói chưa rõ .,,,,
"giáo viên tận tình , chuẩn bị bài học chu đáo .",Tích cực 😄,,,
giảng viên dạy hay và tâm huyết .,Tích cực 😄,,,
"cách tính học phí đối với môn thực hành không được rõ ràng và minh bạch , trong khi học thực hành sinh viên hầu như không sử dụng máy tính của trường và kiến thức học được từ giảng viên là rất ít so với học lý thuyết .",Tiêu cực 😠,,,
nói chuyện dễ nghe .,Tích cực 😄,,,
"hiểu được mục tiêu của môn học , thầy nhiệt tình giúp đỡ sinh viên .",Tích cực 😄,,,
"cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần thiết cho môn học .",Tiêu cực 😠,,,
"truyền đạt tốt , bám sát đề thi , bài giảng cung cấp đầy đủ .",Tích cực 😄,,,
thầy cô dạy rất nhiệt tình !,Tích cực 😄,,,
em không có bất cứ một lời phê bình nào .,,,,
"nội dung học quá trừu tượng , thực hành chưa thực sự mang lại hiệu quả , đa phần sinh viên thực hành theo bài tập được giao , thực hành xong không biết mình đang làm gì , không thấy được ý nghĩa thực tiễn của môn học .",,Tiêu cực 😠,,
cô nên thêm phần điểm đi học thực hành .,Tiêu cực 😠,,,
cách nói chuyện với sinh viên gây mất cảm tình của sinh viên đối với giảng viên .,Tiêu cực 😠,,,
"đồng thời , bài giảng , theo em nhìn nhận , thực sự rất chi tiết .",,,,
truyền đạt kiến thức .,Tích cực 😄,,,
rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .,Tích cực 😄,,,
"thầy rất nhiệt tình , giảng bài rất hay và dễ hiểu .",Tích cực 😄,,,
"nhưng em không mấy hài lòng về cách giải quyết vấn đề của giảng viên khi giảng viên đã đi trễ như vậy , thầy trực phòng thực hành lên tiếng bảo em ( và một số bạn khác ) ra về .",Tiêu cực 😠,,,
đôi khi giảng dạy quá nhiệt tình mà quên mất cả thời gian ( hết giờ học giảng viên vẫn dạy thêm 10 - 15 phút ) .,Tiêu cực 😠,,,
ôn tập kỹ trước khi thi hoặc trong lúc giảng dạy cập nhật đến những vấn đề có thể cho ra trong bài thi .,Tiêu cực 😠,,,
"sự nhiệt tình , vui tính của giảng viên .",Tích cực 😄,,,
"thầy cho tự tìm hiểu , và tự tìm hiểu khác với hiểu được vấn đề .",Tích cực 😄,,,
"cô dạy đều , bao giờ cũng đến sớm và đúng giờ .",Tích cực 😄,,,
"thầy dạy hay và có tâm , mặc dù môn học lịch sử khá khô khan nhưng chúng em hiểu được rất nhiều bài học qua bài giảng của thầy .",Tích cực 😄,,,
mong thầy dạy tận tâm hơn !,Tiêu cực 😠,,,
thầy chưa có sự hướng dẫn cụ thể .,Tiêu cực 😠,,,
không đi đúng giờ .,Tiêu cực 😠,,,
môn này khó .,,Tiêu cực 😠,,
tạm được .,,,,
rât tốt .,,,,
"khi ra đề thi thầy nên kiểm tra kỹ nội dung đề , tránh để sót lỗi điển hình như doubledot tên cột của bảng trùng từ khóa của oracle .",Tiêu cực 😠,,,
giảng viên chưa cho sinh viên bài tập về nhà .,Tiêu cực 😠,,,
giảng viên chỉ lên lớp còn lại không hướng dẫn nội dung thực hành cho sinh viên .,Tiêu cực 😠,,,
thầy giảng bài dễ hiểu .,Tích cực 😄,,,
giảng bài nghe rất dễ hiểu vui tính .,Tích cực 😄,,,
giảng viên thực hành chỉ gặp sinh viên rất ít .,Tiêu cực 😠,,,
còn đi trễ .,Tiêu cực 😠,,,
"thầy dạy hay , demo code trực tiếp cho sinh viên dễ hiểu .",Tích cực 😄,,,
giáo trình nên có sự trình bày cụ thể hơn .,,Tiêu cực 😠,,
"thầy vui tính , chuyên môn vững .",Tích cực 😄,,,
"dạy đúng đề cương , ôn tập sát với đề thi .",Tích cực 😄,,,
"cô dạy bài tập rất tận tình , dễ hiểu .",Tích cực 😄,,,
cô rất nghiêm .,Tích cực 😄,,,
"đề cập về tính thực tế , liên quan của hệ thống kiến thức .",,Tích cực 😄,,
"mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên .",Tiêu cực 😠,,,
"thầy rất nhiệt tình , sẵn sàng trả lời câu hỏi sinh viên .",Tích cực 😄,,,
nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .,,Tiêu cực 😠,Tiêu cực 😠,
em hy vọng nhà trường cải thiện lại các máy trong phòng thực hành để tương ứng với số tiền đối với số chỉ thực hành .,,,Tiêu cực 😠,
quá khó khăn trong việc báo cáo bài .,Tiêu cực 😠,,,
"cô dạy đến hơi thở cuối cùng , rất tận tâm với sinh viên , sinh viên không rõ vấn đề gì đề giải thích cặn kẽ , lâu lâu trong giờ học kể những vấn đề có liên quan tới môn học giúp cho sinh viên định hướng được học môn này để làm gì tạo hứng thú cho sinh viên học tập , đặc biệt cô có giờ tiếp sinh viên định kỳ để để hỗ trợ sinh viên em rất thích điều này .",Tích cực 😄,,,
ngoài ra cung cấp một vài thông tin bổ sung về việc học công nghệ thông tin hiệu quả hơn .,,,,
cô dạy nhiệt tình và dễ hiểu .,Tích cực 😄,,,
"giảng dễ hiểu , cho bài tập đầy đủ .",Tích cực 😄,,,
"thầy vui tính , rất nhiệt tình với sinh viên .",Tích cực 😄,,,
sự nhiệt tình và liên hệ thực tế của giáo viên .,Tích cực 😄,,,
tận tình chỉ bảo .,Tích cực 😄,,,
"mong giảng viên có thể liên hệ bài học với thực tế , cho ví dụ nhiều hơn sinh viên có thể hiểu được bài .",Tiêu cực 😠,,,
giảng viên giảng nhiều bài tập và tăng cường ôn tập ngữ pháp và luyện nói .,Tích cực 😄,,,
"tụi em tới để học chứ không phải để nghe cô chê bai người việt này nọ lọ chai , không phải để nghe việc cô đi dạy người nước ngoài nói tiếng việt , cô cũng đừng đánh giá người ta nói cái gì cho cả một tập thể .",Tiêu cực 😠,,,
đề thi khó .,,Tiêu cực 😠,,
không check mail mỗi khi hỏi bài .,Tiêu cực 😠,,,
nhiều tài liệu hữu ích .,,Tích cực 😄,,
"đồ án cuối kỳ trong vòng một tháng cuối , áp dụng được quy trình thực tế .",,Tiêu cực 😠,,
thúc đẩy sinh viên tự học đạt điểm cao trong các kỳ thi .,Tiêu cực 😠,,,
"thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học .",,Tiêu cực 😠,,
"thầy rất nhiệt tình , vui tính , dạy dễ hiểu và cặn kẽ .",Tích cực 😄,,,
giảng viên nói tiếng anh không hay .,Tiêu cực 😠,,,
các công thức đã có sự đổi mới nên cô cần cập nhật thêm ( betweenness centrality và closeness centrality ) tránh áp đặt kiến thức lên sinh viên .,Tiêu cực 😠,Tiêu cực 😠,,
thầy không quan tâm đến học sinh .,Tiêu cực 😠,,,
"mong nhà trường cần nâng cấp các phòng thực hành , và phong lab khoa .",,,Tiêu cực 😠,
"nhưng cách truyền đạt và cách dạy học rất buồn ngủ , không hiệu quả , rắc rối .",Tiêu cực 😠,,,
"giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực .",Tích cực 😄,,,
không dễ tính .,,,,
"giảng rất hay và dễ hiểu , giúp cho sinh viên nắm vững kiến thức .",Tích cực 😄,,,
"giảng viên giảng dạy nhiệt tình , có đầy đủ các hoạt động để sinh viên rèn luyện và học tập .",Tích cực 😄,,,
"giảng viên không dạy phần trọng tâm của môn học , dạy quá dài dòng , và cần hạn chế viết bảng .",Tiêu cực 😠,,,
"giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ .",Tiêu cực 😠,,,
"cô dạy vui , dễ hiểu .",Tích cực 😄,,,
được 200 điểm là đươc 1 điểm quá trình .,,Tiêu cực 😠,,
chất lượng tốt .,,,,
tôi thấy rất bất mãn về việc giảng dạy của giảng viên mong nhà trường chấn chỉnh lại việt này .,Tiêu cực 😠,,,
"giảng viên giảng dạy dễ hiểu , nhanh tiếp thu bài , đưa ra các ví dụ và bài tập hay .",Tích cực 😄,,,
thầy giảng bài quá buồn ngủ .,Tiêu cực 😠,,,
"thầy vui tính , dạy rất dễ hiểu và rất nhiệt tình .",Tích cực 😄,,,
các bài thực hành cần bám sát theo chương trình lý thuyết .,,Tiêu cực 😠,,
tài liệu được cấp thông qua lớp trưởng .,,Tích cực 😄,,
"nhiệt tình , tài liệu đầy đủ dễ đọc dễ hiểu .",Tích cực 😄,,,
thầy vui tính trong việc dạy .,Tích cực 😄,,,
"thầy rất tân tâm , vui vẻ , và có khả năng truyền đạt kiến thức .",Tích cực 😄,,,
"slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ .",,Tích cực 😄,,
cô vui vẻ trong giảng dạy .,Tích cực 😄,,,
"tận tình , chu đáo , hiểu tâm lý sinh viên .",Tích cực 😄,,,
"giảng viên giảng dạy tận tâm , nhiệt huyết .",Tích cực 😄,,,
"giáo viên dễ gần , phương pháp dạy dể tiếp thu .",Tích cực 😄,,,
"thầy mở máy lạnh lạnh quá ạ , mong thầy bật máy lạnh vừa phải thôi !",Tiêu cực 😠,,,
giảng viên nên trình bày mẫu các bài giải nhiều hơn .,Tiêu cực 😠,,,
dành ra những tiết thực hành nghe nói riêng tạo sự tự nhiên cho sinh viên khi giao tiếp bằng tiếng anh .,Tiêu cực 😠,,,
cô giáo xinh .,Tích cực 😄,,,
"giảng hay , dễ hiểu .",Tích cực 😄,,,
thầy dạy cho nhiều dạng bài tập ví dụ hay giúp em hiểu rõ hơn môn mạng .,Tích cực 😄,,,
chia sẻ kiến thức thực tế cho sinh viên .,Tích cực 😄,Tích cực 😄,,
"thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao .",Tích cực 😄,,,
"nội dung không sâu , sơ sài .",Tiêu cực 😠,,,
"giáo viên nhiệt tình , thân thiện .",Tích cực 😄,,,
